"","experiment","Site.experiment","Site","Sample.Type","Sample.Date"
"NU.45.DeMMO3.D1.sand.Sep2016","fluid","45.fluid","45","DeMMO3","NA.NA"
"NU.46.DeMMO3.D1.3mmPyrex.Sep2016","fluid","46.fluid","46","DeMMO3","NA.NA"
"NU.47.DeMMO3.D1.5mmPyrex.Sep2016","fluid","47.fluid","47","DeMMO3","NA.NA"
"25.DeMMO3.T7.top.051117","fluid","DeMMO3.fluid","DeMMO3","T7","NA.NA"
"27.DeMMO3.T8.top.051117","fluid","DeMMO3.fluid","DeMMO3","T8","NA.NA"
"29.DeMMO3.T9.top.051117","fluid","DeMMO3.fluid","DeMMO3","T9","NA.NA"
"31.DeMMO3.T10.top.051117","fluid","DeMMO3.fluid","DeMMO3","T10","NA.NA"
"33.DeMMO3.T11.top.051117","fluid","DeMMO3.fluid","DeMMO3","T11","NA.NA"
"35.DeMMO3.T12.top.051117","fluid","DeMMO3.fluid","DeMMO3","T12","NA.NA"
"8.DeMMO3.T1.top.083017","fluid","DeMMO3.fluid","DeMMO3","T1","NA.NA"
"10.DeMMO3.T2.top.083017","fluid","DeMMO3.fluid","DeMMO3","T2","NA.NA"
"12.DeMMO3.T3.top.083017","fluid","DeMMO3.fluid","DeMMO3","T3","NA.NA"
"14.DeMMO3.T4.top.083017","fluid","DeMMO3.fluid","DeMMO3","T4","NA.NA"
"16.DeMMO3.T5.top.083017","fluid","DeMMO3.fluid","DeMMO3","T5","NA.NA"
"39.DeMMO3.1.top.041718","fluid","DeMMO3.fluid","DeMMO3","1","NA.NA"
"40.DeMMO3.2.top.041718","fluid","DeMMO3.fluid","DeMMO3","2","NA.NA"
"41.DeMMO3.3.top.041718","fluid","DeMMO3.fluid","DeMMO3","3","NA.NA"
"42.DeMMO3.4.top.041718","fluid","DeMMO3.fluid","DeMMO3","4","NA.NA"
"43.DeMMO3.5.top.041718","fluid","DeMMO3.fluid","DeMMO3","5","NA.NA"
"44.DeMMO3.6.top.041718","fluid","DeMMO3.fluid","DeMMO3","6","NA.NA"
"51.DeMMO3.A.top.041718","fluid","DeMMO3.fluid","DeMMO3","A","NA.NA"
"52.DeMMO3.B.top.041718","fluid","DeMMO3.fluid","DeMMO3","B","NA.NA"
"53.DeMMO3.C.top.041718","fluid","DeMMO3.fluid","DeMMO3","C","NA.NA"
"54.DeMMO3.D.top.041718","fluid","DeMMO3.fluid","DeMMO3","D","NA.NA"
"55.DeMMO3.E.top.041718","fluid","DeMMO3.fluid","DeMMO3","E","NA.NA"
"56.DeMMO3.F.top.041718","fluid","DeMMO3.fluid","DeMMO3","F","NA.NA"
"NU.20.DeMMO6.Steri.120815","fluid","20.fluid","20","DeMMO6","NA.NA"
"30.DuselB.050416","fluid","DuselB.fluid","DuselB","050416","NA.NA"
"32.DuselB.051916","fluid","DuselB.fluid","DuselB","051916","NA.NA"
"33.DuselB.071316","fluid","DuselB.fluid","DuselB","071316","NA.NA"
"NU.03.DeMMO6.Steri.2.092316","fluid","03.fluid","03","DeMMO6","NA.NA"
"NU.11.DeMMO6.Steri.2.120716","fluid","11.fluid","11","DeMMO6","NA.NA"
"5.DeMMO6.Steri.021415","fluid","DeMMO6.fluid","DeMMO6","Steri","Feb.2015"
"12.DeMMO6.Steri.2.051017","fluid","DeMMO6.fluid","DeMMO6","Steri","NA.NA"
"6.DeMMO6.steri.082917","fluid","DeMMO6.fluid","DeMMO6","steri","Aug.2017"
"6.DeMMO6.steri.112817","fluid","DeMMO6.fluid","DeMMO6","steri","Nov.2017"
"17.DeMMO6.041618","fluid","DeMMO6.fluid","DeMMO6","041618","NA.NA"
"NU.36.DeMMO6.D1.wool.Sep2016","fluid","36.fluid","36","DeMMO6","NA.NA"
"NU.37.DeMMO6.D1.sand.Sep2016","fluid","37.fluid","37","DeMMO6","NA.NA"
"NU.38.DeMMO6.D1.3mmPyrex.Sep2016","fluid","38.fluid","38","DeMMO6","NA.NA"
"NU.39.DeMMO6.5mmPyrex.Sep2016","fluid","39.fluid","39","DeMMO6","NA.NA"
"13.DeMMO6.T1.top.051017","fluid","DeMMO6.fluid","DeMMO6","T1","NA.NA"
"15.DeMMO6.T2.top.051017","fluid","DeMMO6.fluid","DeMMO6","T2","NA.NA"
"17.DeMMO6.T3.top.051017","fluid","DeMMO6.fluid","DeMMO6","T3","NA.NA"
"19.DeMMO6.T4.top.051017","fluid","DeMMO6.fluid","DeMMO6","T4","NA.NA"
"21.DeMMO6.T5.top.051017","fluid","DeMMO6.fluid","DeMMO6","T5","NA.NA"
"24.D6.sand.051017","inert.control","D6.inert.control","D6","sand","May.2017"
"34.4100L.DrillFluid.051716","fluid","4100L.fluid","4100L","DrillFluid","May.2016"
"NU.48.800.D1.SlideBlank.Sep2016","fluid","48.fluid","48","800","NA.NA"
"NU.54.4800.D1.SlideBlank.Sep2016","fluid","54.fluid","54","4800","NA.NA"
"18.800.DitchFluid.041818","cont.control","800.cont.control","800","DitchFluid","Apr.2018"
